projectname,projectmember,projectcode,principal_investigator,owner_organization,tag_code_space,id_code,tag_full_id,thelma_converted_code,type,model,serial_number,activation_date,name,manufacturer,person_id,animal_id,scientific_name,common_name,length,length_type,length_units,length2,length2_type,length2_units,weight_units,age,age_units,sex,life_stage,capture_location,utc_release_date_time,comments,est_tag_life,wild_or_hatchery,stock,dna_sample_taken,treatment_type,dissolved_oxygen,sedative,sedative_concentration,temperature_change,holding_temperature,preop_holding_period,post_op_holding_period,surgery_location,date_of_surgery,anaesthetic,buffer,anaesthetic_concentration,buffer_concentration_in_anaesthetic,anesthetic_concentration_in_recirculation,buffer_concentration_in_recirculation,id_pk,catched_date_time,capture_latitude,capture_longitude,release_latitude,release_longitude,surgery_latitude,surgery_longitude,recapture_date,capture_depth,implant_type,implant_method,date_modified,date_created,release_location,length3,length3_type,length3_units,length4,length4_type,length4_units,weight,end_date_tag,capture_method,project_fk,animal_tag_release_id_pk
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47321,A69-1601-47321,,Acoustic,V9-2x,1255022,,INBO,VEMCO,40,,Anguilla anguilla,European eel,874,total length,mm,41.7,pectoral fin length,mm,g,,,female,FIII,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2293,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:29:13Z,2016-12-07T10:27:56Z,HH5,9.6,horizontal eye diameter,mm,9.35,vertical eye diameter,mm,1189,2017-11-25T00:00:00Z,double fyke nets,18,496
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64511,A69-1601-64511,,Acoustic,V7-2x,1263155,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,143,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2356,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:17:27Z,2017-04-26T09:47:18Z,Ham,,,,,,,32.1,2017-06-02T10:00:00Z,,18,1160
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64512,A69-1601-64512,,Acoustic,V7-2x,1263156,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,138,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2357,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:17:47Z,2017-04-26T09:47:53Z,Genenbos,,,,,,,29.5,2017-06-02T10:00:00Z,,18,1162
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47322,A69-1601-47322,,Acoustic,V9-2x,1255023,,INBO,VEMCO,40,,Anguilla anguilla,European eel,918,total length,mm,39.1,pectoral fin length,mm,g,,,female,FIII,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2294,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:29:30Z,2016-12-07T10:28:37Z,HH5,10,horizontal eye diameter,mm,9.25,vertical eye diameter,mm,1421,2017-11-25T00:00:00Z,double fyke nets,18,539
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47323,A69-1601-47323,,Acoustic,V9-2x,1255024,,INBO,VEMCO,40,,Anguilla anguilla,European eel,899,total length,mm,39.3,pectoral fin length,mm,g,,,female,FV,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2295,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:29:45Z,2016-12-07T10:29:26Z,HH5,11.2,horizontal eye diameter,mm,10.45,vertical eye diameter,mm,1417,2017-11-25T00:00:00Z,double fyke nets,18,585
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47324,A69-1601-47324,,Acoustic,V9-2x,1255025,,INBO,VEMCO,40,,Anguilla anguilla,European eel,890,total length,mm,38.4,pectoral fin length,mm,g,,,female,FV,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2296,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:29:59Z,2016-12-07T10:31:15Z,HH5,11.45,horizontal eye diameter,mm,10.2,vertical eye diameter,mm,1375,2017-11-25T00:00:00Z,double fyke nets,18,627
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47325,A69-1601-47325,,Acoustic,V9-2x,1255026,,INBO,VEMCO,40,,Anguilla anguilla,European eel,770,total length,mm,31.05,pectoral fin length,mm,g,,,female,FIII,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2297,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:30:15Z,2016-12-07T10:32:10Z,HH5,10.2,horizontal eye diameter,mm,9.9,vertical eye diameter,mm,824,2017-11-25T00:00:00Z,double fyke nets,18,653
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47326,A69-1601-47326,,Acoustic,V9-2x,1255027,,INBO,VEMCO,40,,Anguilla anguilla,European eel,846,total length,mm,41.6,pectoral fin length,mm,g,,,female,FV,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2298,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:30:27Z,2016-12-07T10:33:03Z,HH5,10.15,horizontal eye diameter,mm,10.1,vertical eye diameter,mm,1041,2017-11-25T00:00:00Z,double fyke nets,18,692
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47327,A69-1601-47327,,Acoustic,V9-2x,1255028,,INBO,VEMCO,40,,Anguilla anguilla,European eel,943,total length,mm,49.8,pectoral fin length,mm,g,,,female,FV,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2299,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:30:40Z,2016-12-07T10:34:04Z,HH5,12.95,horizontal eye diameter,mm,11.7,vertical eye diameter,mm,1938,2017-11-25T00:00:00Z,double fyke nets,18,739
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,47328,A69-1601-47328,,Acoustic,V9-2x,1255029,,INBO,VEMCO,40,,Anguilla anguilla,European eel,762,total length,mm,36.2,pectoral fin length,mm,g,,,female,FV,sluis Genk,2016-11-23T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2300,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:30:52Z,2016-12-07T10:36:04Z,HH5,10.45,horizontal eye diameter,mm,10.1,vertical eye diameter,mm,889,2017-11-25T00:00:00Z,double fyke nets,18,787
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1834,A69-9006-1834,,Acoustic,V13AP-1x-069k-1-0017m,1278974,,INBO,VEMCO,40,,Anguilla anguilla,European eel,900,total length,mm,40.2,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-08T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2779,2017-11-08T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:31:11Z,2017-12-13T08:11:56Z,HH5,11.35,horizontal eye diameter,mm,9.85,vertical eye diameter,mm,1475.9,2018-05-10T00:00:00Z,double fyke nets,18,1768
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1836,A69-9006-1836,,Acoustic,V13AP-1x-069k-1-0017m,1278975,,INBO,VEMCO,40,,Anguilla anguilla,European eel,800,total length,mm,38.9,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-08T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2780,2017-11-08T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T15:31:22Z,2017-12-13T08:13:33Z,HH5,10.95,horizontal eye diameter,mm,9.45,vertical eye diameter,mm,1183.6,2018-05-10T00:00:00Z,double fyke nets,18,1769
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1838,A69-9006-1838,,Acoustic,V13AP-1x-069k-1-0017m,1278976,,INBO,VEMCO,40,,Anguilla anguilla,European eel,925,total length,mm,44.7,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2781,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:48:46Z,2017-12-13T08:14:38Z,HH5,12.1,horizontal eye diameter,mm,10.5,vertical eye diameter,mm,1644.4,2018-05-12T00:00:00Z,double fyke nets,18,1770
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1840,A69-9006-1840,,Acoustic,V13AP-1x-069k-1-0017m,1278977,,INBO,VEMCO,40,,Anguilla anguilla,European eel,854,total length,mm,45.75,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2782,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:48:52Z,2017-12-13T08:16:46Z,HH5,10.45,horizontal eye diameter,mm,10.4,vertical eye diameter,mm,1408.4,2018-05-12T00:00:00Z,double fyke nets,18,1771
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64486,A69-1601-64486,,Acoustic,V7-2x,1263130,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,135,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2331,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:04:54Z,2017-04-26T09:28:55Z,Genenbos,,,,,,,30,2017-06-02T10:00:00Z,,18,1124
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64487,A69-1601-64487,,Acoustic,V7-2x,1263131,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,141,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2332,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:04:40Z,2017-04-26T09:29:25Z,Genenbos,,,,,,,32.5,2017-06-02T10:00:00Z,,18,1126
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64488,A69-1601-64488,,Acoustic,V7-2x,1263132,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,141,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2333,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:06:18Z,2017-04-26T09:30:16Z,Ham,,,,,,,30.8,2017-06-02T10:00:00Z,,18,1127
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64489,A69-1601-64489,,Acoustic,V7-2x,1263133,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,137,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2334,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:06:42Z,2017-04-26T09:30:45Z,Genenbos,,,,,,,28.8,2017-06-02T10:00:00Z,,18,1128
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64498,A69-1601-64498,,Acoustic,V7-2x,1263142,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,142,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-04-10T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2343,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T14:55:04Z,2017-04-26T09:39:27Z,Genenbos,,,,,,,32,2017-06-13T10:00:00Z,,18,1142
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64492,A69-1601-64492,,Acoustic,V7-2x,1263136,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,144,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2337,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:07:26Z,2017-04-26T09:33:01Z,Ham,,,,,,,34.2,2017-06-02T10:00:00Z,,18,1132
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64499,A69-1601-64499,,Acoustic,V7-2x,1263143,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,151,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2344,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:11:32Z,2017-04-26T09:39:58Z,Ham,,,,,,,38.5,2017-06-02T10:00:00Z,,18,1146
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64493,A69-1601-64493,,Acoustic,V7-2x,1263137,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,142,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2338,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:07:38Z,2017-04-26T09:33:45Z,Ham,,,,,,,31.9,2017-06-02T10:00:00Z,,18,1133
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64490,A69-1601-64490,,Acoustic,V7-2x,1263134,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,143,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2335,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:07:03Z,2017-04-26T09:31:48Z,Genenbos,,,,,,,34.3,2017-06-02T10:00:00Z,,18,1129
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64491,A69-1601-64491,,Acoustic,V7-2x,1263135,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,141,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2336,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:07:13Z,2017-04-26T09:32:23Z,Genenbos,,,,,,,31.1,2017-06-02T10:00:00Z,,18,1131
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64497,A69-1601-64497,,Acoustic,V7-2x,1263141,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,142,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-04-10T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2342,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T14:54:17Z,2017-04-26T09:39:02Z,Genenbos,,,,,,,32.5,2017-06-13T10:00:00Z,,18,1137
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64494,A69-1601-64494,,Acoustic,V7-2x,1263138,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,140,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-03-30T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2339,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:07:47Z,2017-04-26T09:34:20Z,Ham,,,,,,,31.8,2017-06-02T10:00:00Z,,18,1134
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64496,A69-1601-64496,,Acoustic,V7-2x,1263140,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,142,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-04-18T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2341,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:11:21Z,2017-04-26T09:38:33Z,Ham,,,,,,,32.4,2017-06-02T10:00:00Z,,18,1136
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-1601,64500,A69-1601-64500,,Acoustic,V7-2x,1263144,,INBO,VEMCO,,,Salmo salar,Atlantic salmon,146,fork length,mm,,,,g,,,unknown,,hatchery Erezée,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2346,2017-03-30T10:00:00Z,,,,,,,,,,,2019-03-19T15:13:42Z,2017-04-26T09:42:29Z,Ham,,,,,,,38.5,2017-06-02T10:00:00Z,,18,1149
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1842,A69-9006-1842,,Acoustic,V13AP-1x-069k-1-0017m,1278978,,INBO,VEMCO,40,,Anguilla anguilla,European eel,871,total length,mm,38.15,pectoral fin length,mm,g,,,female,FIII,sluis Genk,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2783,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:48:59Z,2017-12-13T08:23:03Z,HH5,9.85,horizontal eye diameter,mm,9.9,vertical eye diameter,mm,1225,2018-05-12T00:00:00Z,double fyke nets,18,1772
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1844,A69-9006-1844,,Acoustic,V13AP-1x-069k-1-0017m,1278979,,INBO,VEMCO,40,,Anguilla anguilla,European eel,968,total length,mm,49.65,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2784,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:49:06Z,2017-12-13T08:24:49Z,HH5,12.5,horizontal eye diameter,mm,11.9,vertical eye diameter,mm,1503.6,2018-05-12T00:00:00Z,double fyke nets,18,1773
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1846,A69-9006-1846,,Acoustic,V13AP-1x-069k-1-0017m,1278980,,INBO,VEMCO,40,,Anguilla anguilla,European eel,772,total length,mm,37.3,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2785,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:49:12Z,2017-12-13T08:25:43Z,HH5,11,horizontal eye diameter,mm,10.8,vertical eye diameter,mm,1108,2018-05-12T00:00:00Z,double fyke nets,18,1774
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1848,A69-9006-1848,,Acoustic,V13AP-1x-069k-1-0017m,1278981,,INBO,VEMCO,40,,Anguilla anguilla,European eel,929,total length,mm,50.85,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2786,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:49:19Z,2017-12-13T08:27:01Z,HH5,12.95,horizontal eye diameter,mm,12.2,vertical eye diameter,mm,1556,2018-05-12T00:00:00Z,double fyke nets,18,1775
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1850,A69-9006-1850,,Acoustic,V13AP-1x-069k-1-0017m,1278982,,INBO,VEMCO,40,,Anguilla anguilla,European eel,836,total length,mm,44.9,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2787,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:49:26Z,2017-12-13T08:28:38Z,HH5,10,horizontal eye diameter,mm,9.95,vertical eye diameter,mm,1181,2018-05-12T00:00:00Z,double fyke nets,18,1776
2013 Albertkanaal,1,2013_albertkanaal,,INBO,A69-9006,1852,A69-9006-1852,,Acoustic,V13AP-1x-069k-1-0017m,1278983,,INBO,VEMCO,40,,Anguilla anguilla,European eel,967,total length,mm,51.25,pectoral fin length,mm,g,,,female,FV,sluis Genk,2017-11-13T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2788,2017-11-13T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,,2019-03-14T09:49:33Z,2017-12-13T08:30:03Z,HH5,11.55,horizontal eye diameter,mm,10.85,vertical eye diameter,mm,1974,2018-05-15T00:00:00Z,double fyke nets,18,1777
